"id","avatar","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"RCONMNE4SMXVE","https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/524876af-8661-473e-99fb-011e576bc193._CR22,0,456,456_SX48_.jpg","Nihir Shah","https://www.amazon.in/gp/profile/amzn1.account.AEK3OESSNNTPR7SY4BUKVUS6TAYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","Top-tier specs, excellent cameras, and future-proof performance.","https://www.amazon.in/gp/customer-reviews/RCONMNE4SMXVE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","The Samsung Galaxy S25 Ultra continues the Ultra legacy with a device that’s powerful, polished, and packed with cutting-edge features. It’s clear Samsung aimed to solidify its position at the top of the premium smartphone market—and it mostly succeeds.<br><br>Design and Display<br><br>  The S25 Ultra features a 6.9-inch Dynamic AMOLED 2X display with a 120Hz adaptive refresh rate, offering vibrant colors, deep blacks, and smooth scrolling.<br><br>  The display has a resolution of 3120 x 1440 pixels.<br><br>  It is protected by Corning Gorilla Glass Armor 2, which provides enhanced durability.<br><br>  The phone has a titanium frame and an IP68 rating for dust and water resistance.<br><br>  It also includes an embedded S Pen stylus.<br><br>Software &amp; Features<br><br>Running One UI 7.1 based on Android 15, the user experience is smooth and customizable. Samsung’s commitment to 7 years of software updates gives it an edge over most Android competitors. The integration of Galaxy AI, such as real-time translation, generative photo editing, and productivity enhancements in Samsung Notes, brings genuinely useful features to the everyday experience.<br><br>Camera<br><br>  The S25 Ultra has a quad-camera setup:<br><br>  200MP wide-angle primary camera<br><br>  50MP ultra-wide-angle camera<br><br>  10MP telephoto camera (3x optical zoom)<br><br>  50MP periscope telephoto camera (5x optical zoom)<br><br>  The front-facing camera is 12MP.<br><br>  The camera system supports 8K video recording, HDR, and various professional features.<br><br>Performance and Hardware<br><br>  The S25 Ultra is powered by the Snapdragon 8 Elite processor.<br><br>  It comes with 12GB or 16GB of RAM.<br><br>  Storage options include 256GB, 512GB, and 1TB.<br><br>  The phone runs on Android 15 with Samsung's One UI 7.<br><br>Battery<br><br>  The S25 Ultra has a 5000mAh battery.<br><br>  It supports 45W wired fast charging and 15W wireless charging.<br><br>Other Features<br><br>  The phone supports 5G connectivity.<br><br>  It has an ultrasonic in-display fingerprint sensor.<br><br>  It includes Wi-Fi 7, Bluetooth 5.3, NFC, and USB Type-C.<br><br>Summary<br><br>The Samsung Galaxy S25 Ultra is a premium smartphone with a top-of-the-line display, powerful performance, a versatile camera system, and a long-lasting battery. It also has an S Pen, which is useful for productivity and creativity.","Reviewed in India on 29 April 2025","","Verified Purchase","13 people found this helpful","","","[]","[]"
"R1K0468TGJ35IH","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Amazon Customer","https://www.amazon.in/gp/profile/amzn1.account.AG26D6I5T5YSRE6PH7U7UP2A6AJQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","Fantastic Phone!!","https://www.amazon.in/gp/customer-reviews/R1K0468TGJ35IH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","I've been using the Galaxy S25 Ultra for over two months now, having upgraded from the S22 Ultra — and I couldn’t be more satisfied. The display is absolutely stunning, offering crisp visuals and vibrant colors that enhance every viewing experience. The camera is top-notch, particularly excelling in low-light photography — easily the best in the industry.<br><br>Battery life is another strong point; despite my heavy usage, it easily lasts a full day without needing a recharge. Performance-wise, the phone runs incredibly smooth with no lags or slowdowns. Overall, the S25 Ultra is a powerful, well-rounded upgrade that delivers on all front.","Reviewed in India on 7 May 2025","Colour: Titanium Black<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 512GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: With exchange bonus or No cost EMI","Verified Purchase","5 people found this helpful","","","[]","[]"
"R35FE6DJ0TNSN8","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Avishek Dey","https://www.amazon.in/gp/profile/amzn1.account.AFPN5HZMIOVSBKW4F6V5EG42VSLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","Wonderful Display, super fast processor and fluid UI","https://www.amazon.in/gp/customer-reviews/R35FE6DJ0TNSN8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","I switched to the Galaxy S25 Ultra after using the iPhone 12 Pro Max for 4 years. The display is absolutely stunning, super bright and the colours pop out. S25 Ultra is very snappy, apps open instantly and higher refresh rate makes the animations very smooth. Camera is decent too. Overall a very worthy upgrade from my current phone","Reviewed in India on 5 February 2025","Colour: Titanium Blue<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 512GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: With exchange bonus or No cost EMI","Verified Purchase","180 people found this helpful","","","[""https://m.media-amazon.com/images/I/71ZnrXiVxLL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/71ZnrXiVxLL.jpg""]"
"R265C2MX1396YD","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Deepansh J.","https://www.amazon.in/gp/profile/amzn1.account.AFBC57IUPC3AZFY6NYIYNI6H5T2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","Nice camera","https://www.amazon.in/gp/customer-reviews/R265C2MX1396YD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","Phone is nice.<br>Performance and speed is good.<br>Little heavy in weight.<br>But battery can be improved to 6000 mah.","Reviewed in India on 3 May 2025","Colour: Titanium Blue<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 256GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: With exchange bonus or No cost EMI","Verified Purchase","3 people found this helpful","","","[]","[]"
"R25ZOQ8HHWC0PZ","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","PRADEEP N.","https://www.amazon.in/gp/profile/amzn1.account.AFDHOO7VK3K5X4K6PUMZHB2U5VAA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","1","Disappointing experience and a Loss of Credibility","https://www.amazon.in/gp/customer-reviews/R25ZOQ8HHWC0PZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","Be very careful before ordering expensive phones at seemingly attractive discounts - you might be in for a shock. They might send you a used/second hand set. Which is what happened in my case. I received it on March 27th but it had already been activated on 11th February. Was lucky to find out because I happened to get the warranty checked from a authorised Samsung store. However, to their credit, Amazon agreed to take it back immediately and issue a refund. Now in the process....<br>Disappointed","Reviewed in India on 4 April 2025","Colour: Titanium Blue<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 512GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Other Offers","Verified Purchase","34 people found this helpful","","","[]","[]"
"R1DTGQLLSMSI47","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Kushagra M.","https://www.amazon.in/gp/profile/amzn1.account.AFGXEVC6PDLU4DBJ4I5HMEPZP2MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","Completely Worth It!","https://www.amazon.in/gp/customer-reviews/R1DTGQLLSMSI47/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","The design, look and feel of the UI, battery, display, multi-tasking and AI functionality is top-notch. Camera, gaming experience, S-pen support is pretty good too. One of the best flagship phone, if not the best one.","Reviewed in India on 22 February 2025","Colour: Titanium Blue<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 512GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: With exchange bonus or No cost EMI","Verified Purchase","13 people found this helpful","","","[]","[]"
"R261PSH7L3OJUA","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Aman","https://www.amazon.in/gp/profile/amzn1.account.AGANYNQGMIIBLTN3THTX62NYJYOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","Best Android phone","https://www.amazon.in/gp/customer-reviews/R261PSH7L3OJUA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","Superb","Reviewed in India on 14 April 2025","Colour: Titanium Black<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 512GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Other Offers","Verified Purchase","One person found this helpful","","","[]","[]"
"R24QLCGYC4EBL1","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Arun Ganesh","https://www.amazon.in/gp/profile/amzn1.account.AHOQOZ4FVSHD6Q4WGOHJMDQ7WCNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","A Game-Changer: My Experience with the S25 Ultra","https://www.amazon.in/gp/customer-reviews/R24QLCGYC4EBL1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","I was initially hesitant to purchase the S25 Ultra, but after 2 weeks of use, I'm thrilled to share my overwhelmingly positive experience!<br><br>The battery life has been a standout feature for me, consistently lasting a full day and often stretching into the next with moderate to heavy use.<br><br>The phone's overall performance has been seamless, with lightning-fast app loading, effortless multitasking, and silky-smooth graphics.<br><br>The display is stunning, with vibrant colors and crisp details that make every visual experience a joy.<br><br>I've also been impressed with the camera's capabilities, delivering crisp, high-quality photos and videos in a variety of conditions.<br><br>Overall, the S25 Ultra has exceeded my expectations and truly lives up to its reputation as an Android powerhouse. If you're in the market for a new flagship device, I highly recommend giving this one a serious look!","Reviewed in India on 26 March 2025","","Verified Purchase","25 people found this helpful","","","[]","[]"
"R3HMIP8BUAJNOV","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","RAJ MISHRA ","https://www.amazon.in/gp/profile/amzn1.account.AGJRBVUNDH2HAFB5P2ZSF5HSCQFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","Impressive Phone","https://www.amazon.in/gp/customer-reviews/R3HMIP8BUAJNOV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","S is my dream from phone since 2013 since that time my dream phone was note 3 but due to some issues I can't afford that phone after waiting for more then 10 years later I have bought my dream phone<br><br>&gt; Solid Camera Quality<br>&gt; Super Battery Backup<br>&gt; Solid On UI 7 Experience<br>&gt; Speakers Are Not Upto Mark<br>&gt; 45W So Phone Taking Lots Of Time<br>&gt; I got my phone within delivery date","Reviewed in India on 31 March 2025","Colour: Titanium Gray<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 256GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: Other Offers","Verified Purchase","31 people found this helpful","","","[""https://m.media-amazon.com/images/I/51A+-0xL+SL._SY88.jpg"",""https://m.media-amazon.com/images/I/51lBrLP+PiL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/51A+-0xL+SL.jpg"",""https://m.media-amazon.com/images/I/51lBrLP+PiL.jpg""]"
"RLC092DB1DAAL","https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif","Aatish bhardwaj","https://www.amazon.in/gp/profile/amzn1.account.AHP2PPYNOQTAXZLJEAKCETELCXQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","कैमरा","https://www.amazon.in/gp/customer-reviews/RLC092DB1DAAL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0DSKLSV63","B0DSKLSV63","If you wanna with away with me<br>I know a galaxy n<br>I can take for a ride","Reviewed in India on 13 May 2025","Colour: Titanium Black<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 12GB RAM + 512GB Storage<i aria-hidden=""true"" class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Style Name: With exchange bonus or No cost EMI","Verified Purchase","","","","[]","[]"